i,winDiff,avg
559,-160,-0.28622540250447226
560,-159,-0.2839285714285714
561,-160,-0.28520499108734404
562,-161,-0.28647686832740216
563,-160,-0.2841918294849023
564,-161,-0.2854609929078014
565,-162,-0.2867256637168142
566,-161,-0.284452296819788
567,-162,-0.2857142857142857
568,-163,-0.2869718309859155
569,-163,-0.28646748681898065
570,-163,-0.28596491228070176
571,-162,-0.28371278458844135
572,-163,-0.28496503496503495
573,-162,-0.28272251308900526
574,-163,-0.28397212543554007
575,-164,-0.2852173913043478
576,-163,-0.2829861111111111
577,-164,-0.28422876949740034
578,-165,-0.28546712802768165
579,-166,-0.2867012089810017
580,-167,-0.28793103448275864
581,-168,-0.2891566265060241
582,-169,-0.29037800687285226
583,-168,-0.2881646655231561
584,-169,-0.2893835616438356
585,-168,-0.28717948717948716
586,-169,-0.2883959044368601
587,-168,-0.28620102214650767
588,-169,-0.28741496598639454
589,-170,-0.28862478777589134
590,-171,-0.28983050847457625
591,-170,-0.2876480541455161
592,-171,-0.28885135135135137
593,-172,-0.2900505902192243
594,-171,-0.2878787878787879
595,-172,-0.28907563025210087
596,-172,-0.28859060402684567
597,-173,-0.2897822445561139
598,-174,-0.2909698996655518
599,-173,-0.2888146911519199
600,-174,-0.29
601,-175,-0.2911813643926789
602,-175,-0.29069767441860467
603,-176,-0.29187396351575456
604,-177,-0.29304635761589404
605,-176,-0.2909090909090909
606,-177,-0.29207920792079206
607,-178,-0.2932454695222405
608,-178,-0.29276315789473684
609,-179,-0.2939244663382594
610,-178,-0.29180327868852457
611,-177,-0.2896890343698854
612,-177,-0.28921568627450983
613,-176,-0.28711256117455136
614,-175,-0.28501628664495116
615,-176,-0.2861788617886179
616,-177,-0.28733766233766234
617,-177,-0.28687196110210694
618,-176,-0.284789644012945
619,-175,-0.2827140549273021
620,-174,-0.2806451612903226
621,-175,-0.28180354267310787
622,-175,-0.28135048231511256
623,-176,-0.2825040128410915
624,-177,-0.28365384615384615
625,-178,-0.2848
626,-179,-0.28594249201277955
627,-178,-0.2838915470494418
628,-177,-0.2818471337579618
629,-178,-0.28298887122416533
630,-177,-0.28095238095238095
631,-176,-0.27892234548335976
632,-177,-0.2800632911392405
633,-177,-0.2796208530805687
634,-176,-0.277602523659306
635,-177,-0.27874015748031494
636,-178,-0.279874213836478
637,-177,-0.2778649921507064
638,-178,-0.27899686520376177
639,-179,-0.28012519561815336
640,-178,-0.278125
641,-177,-0.27613104524180965
642,-176,-0.27414330218068533
643,-175,-0.27216174183514774
644,-176,-0.2732919254658385
645,-177,-0.2744186046511628
646,-176,-0.2724458204334365
647,-177,-0.2735703245749614
648,-178,-0.27469135802469136
649,-179,-0.275808936825886
650,-178,-0.27384615384615385
651,-179,-0.2749615975422427
652,-180,-0.27607361963190186
653,-181,-0.2771822358346095
654,-182,-0.2782874617737003
655,-183,-0.27938931297709924
656,-184,-0.2804878048780488
657,-184,-0.2800608828006088
658,-183,-0.27811550151975684
659,-182,-0.27617602427921095
660,-181,-0.27424242424242423
661,-180,-0.2723146747352496
662,-181,-0.27341389728096677
663,-182,-0.27450980392156865
664,-181,-0.27259036144578314
665,-180,-0.2706766917293233
666,-181,-0.27177177177177175
667,-182,-0.272863568215892
668,-181,-0.27095808383233533
669,-182,-0.27204783258594917
670,-183,-0.27313432835820894
671,-184,-0.27421758569299554
672,-185,-0.27529761904761907
673,-184,-0.27340267459138184
674,-185,-0.2744807121661721
675,-184,-0.2725925925925926
676,-184,-0.27218934911242604
677,-183,-0.27031019202363366
678,-184,-0.2713864306784661
679,-183,-0.2695139911634757
680,-184,-0.27058823529411763
681,-183,-0.2687224669603524
682,-184,-0.2697947214076246
683,-185,-0.2708638360175695
684,-186,-0.2719298245614035
685,-187,-0.272992700729927
686,-186,-0.27113702623906705
687,-187,-0.27219796215429404
688,-186,-0.2703488372093023
689,-187,-0.2714078374455733
690,-188,-0.27246376811594203
691,-188,-0.27206946454413894
692,-187,-0.2702312138728324
693,-186,-0.2683982683982684
694,-187,-0.26945244956772335
695,-188,-0.27050359712230215
696,-189,-0.27155172413793105
697,-190,-0.27259684361549497
698,-189,-0.2707736389684814
699,-190,-0.2718168812589413
700,-191,-0.27285714285714285
701,-192,-0.2738944365192582
702,-193,-0.27492877492877493
703,-194,-0.2759601706970128
704,-195,-0.27698863636363635
705,-196,-0.27801418439716313
706,-195,-0.2762039660056657
707,-196,-0.27722772277227725
708,-197,-0.2782485875706215
709,-198,-0.27926657263751764
710,-199,-0.2802816901408451
711,-198,-0.27848101265822783
712,-199,-0.2794943820224719
713,-200,-0.2805049088359046
714,-199,-0.27871148459383754
715,-200,-0.27972027972027974
716,-201,-0.2807262569832402
717,-200,-0.2789400278940028
718,-201,-0.2799442896935933
719,-202,-0.2809457579972184
720,-201,-0.2791666666666667
721,-202,-0.2801664355062413
722,-203,-0.28116343490304707
723,-203,-0.28077455048409405
724,-202,-0.27900552486187846
725,-201,-0.2772413793103448
726,-200,-0.27548209366391185
727,-199,-0.2737276478679505
728,-198,-0.27197802197802196
729,-197,-0.27023319615912206
730,-198,-0.27123287671232876
731,-197,-0.2694938440492476
732,-196,-0.2677595628415301
733,-195,-0.2660300136425648
734,-194,-0.26430517711171664
735,-195,-0.2653061224489796
736,-194,-0.26358695652173914
737,-195,-0.2645861601085482
738,-194,-0.26287262872628725
739,-193,-0.26116373477672533
740,-194,-0.26216216216216215
741,-195,-0.2631578947368421
742,-196,-0.2641509433962264
743,-197,-0.2651413189771198
744,-196,-0.26344086021505375
745,-197,-0.2644295302013423
746,-198,-0.26541554959785524
747,-199,-0.26639892904953144
748,-200,-0.26737967914438504
749,-201,-0.2683578104138852
750,-202,-0.2693333333333333
751,-203,-0.27030625832223704
752,-204,-0.2712765957446808
753,-203,-0.2695883134130146
754,-204,-0.27055702917771884
755,-205,-0.271523178807947
756,-204,-0.2698412698412698
757,-205,-0.27080581241743723
758,-206,-0.2717678100263852
759,-205,-0.27009222661396576
760,-206,-0.2710526315789474
761,-207,-0.2720105124835742
762,-206,-0.27034120734908135
763,-207,-0.2712975098296199
764,-208,-0.27225130890052357
765,-207,-0.27058823529411763
766,-206,-0.2689295039164491
767,-207,-0.26988265971316816
768,-208,-0.2708333333333333
769,-207,-0.26918075422626786
770,-208,-0.2701298701298701
771,-209,-0.2710765239948119
772,-210,-0.27202072538860106
773,-211,-0.2729624838292367
774,-212,-0.2739018087855297
775,-213,-0.27483870967741936
776,-214,-0.2757731958762887
777,-215,-0.2767052767052767
778,-216,-0.2776349614395887
779,-215,-0.27599486521181
780,-214,-0.2743589743589744
781,-214,-0.2740076824583867
782,-215,-0.2749360613810742
783,-216,-0.27586206896551724
784,-215,-0.274234693877551
785,-214,-0.27261146496815286
786,-215,-0.27353689567430023
787,-216,-0.2744599745870394
788,-215,-0.27284263959390864
789,-216,-0.2737642585551331
790,-215,-0.2721518987341772
791,-214,-0.27054361567635904
792,-215,-0.27146464646464646
793,-214,-0.2698612862547289
794,-213,-0.2682619647355164
795,-214,-0.2691823899371069
796,-215,-0.2701005025125628
797,-216,-0.2710163111668758
798,-217,-0.2719298245614035
799,-218,-0.27284105131414266
800,-219,-0.27375
801,-220,-0.2746566791510612
802,-221,-0.27556109725685785
803,-220,-0.273972602739726
804,-219,-0.27238805970149255
805,-218,-0.2708074534161491
806,-217,-0.2692307692307692
807,-218,-0.2701363073110285
808,-217,-0.2685643564356436
809,-216,-0.2669962917181706
810,-215,-0.2654320987654321
811,-216,-0.26633785450061653
812,-215,-0.2647783251231527
813,-216,-0.2656826568265683
814,-217,-0.2665847665847666
815,-218,-0.2674846625766871
816,-217,-0.2659313725490196
817,-216,-0.26438188494492043
818,-217,-0.265281173594132
819,-218,-0.2661782661782662
820,-219,-0.26707317073170733
821,-220,-0.2679658952496955
822,-219,-0.2664233576642336
823,-218,-0.2648845686512758
824,-217,-0.2633495145631068
825,-218,-0.2642424242424242
826,-219,-0.2651331719128329
